scenario_id,road_environment,road_type,pothole_depth,water_depth,ntu,weather,lighting,vehicle_speed,severity
SC001,Urban,Asphalt,12,3,97,Mist,Dusk,9.36,Moderate
SC002,Urban,Mud,6,0,123,Foggy,Night_Streetlights,4.19,Low
SC003,Urban,Mud,18,7,214,Foggy,Daylight,7.89,Severe
SC004,Urban,Asphalt,15,8,99,Mist,Night_Streetlights,4.15,Moderate
SC005,Urban,Gravel,8,5,44,Clear,Night_Streetlights,8.04,Moderate
SC006,Rural,Asphalt,17,2,241,Foggy,Dawn,4.93,Moderate
SC007,Rural,Mud,7,0,158,Foggy,Daylight,9.73,Low
SC008,Urban,Asphalt,17,8,366,Thunderstorm,Dawn,8.36,Severe
SC009,Urban,Gravel,11,10,148,Drizzle,Dusk,9.02,Severe
SC010,Urban,Asphalt,10,7,197,Foggy,Daylight,4.7,Moderate
SC011,Urban,Mud,6,1,185,Mist,Dusk,2.32,Low
SC012,Rural,Gravel,11,9,160,Drizzle,Dawn,4.13,Moderate
SC013,Rural,Dirt,9,4,97,Mist,Night_Streetlights,4.47,Moderate
SC014,Rural,Mud,18,18,131,Mist,Night_Dark,5.62,Extreme
SC015,Rural,Concrete,8,2,80,Clear,Dawn,3.6,Low
SC016,Urban,Dirt,19,16,184,Rainy,Night_Streetlights,11.71,Extreme
SC017,Urban,Asphalt,13,12,162,Mist,Night_Dark,5.4,Severe
SC018,Rural,Gravel,5,5,117,Cloudy,Night_Streetlights,11.72,Moderate
SC019,Urban,Concrete,11,2,345,Thunderstorm,Dusk,9.63,Moderate
SC020,Urban,Mud,20,0,128,Foggy,Dusk,11.29,Moderate
SC021,Urban,Gravel,7,1,93,Clear,Daylight,6.86,Low
SC022,Urban,Asphalt,10,4,158,Cloudy,Night_Streetlights,11.64,Moderate
SC023,Urban,Mud,17,11,136,Mist,Dusk,11.0,Severe
SC024,Urban,Dirt,7,5,55,Cloudy,Daylight,7.88,Moderate
SC025,Urban,Concrete,6,1,8,Clear,Dawn,11.05,Low
SC026,Urban,Gravel,13,10,224,Foggy,Daylight,4.14,Severe
SC027,Rural,Concrete,18,6,74,Cloudy,Night_Streetlights,2.97,Moderate
SC028,Rural,Dirt,19,1,292,Rainy,Night_Streetlights,8.53,Moderate
SC029,Urban,Asphalt,8,3,169,Rainy,Dusk,3.9,Moderate
SC030,Urban,Dirt,13,7,183,Rainy,Daylight,10.74,Moderate
SC031,Rural,Asphalt,8,0,416,Thunderstorm,Night_Dark,11.99,Moderate
SC032,Urban,Asphalt,10,6,374,Thunderstorm,Daylight,6.81,Severe
SC033,Urban,Dirt,5,3,117,Cloudy,Night_Streetlights,11.27,Low
SC034,Rural,Dirt,20,4,168,Rainy,Night_Dark,4.97,Moderate
SC035,Urban,Asphalt,6,0,154,Mist,Dusk,6.77,Low
SC036,Urban,Mud,7,2,8,Clear,Night_Dark,7.95,Low
SC037,Rural,Concrete,12,9,76,Clear,Night_Dark,2.4,Moderate
SC038,Rural,Asphalt,15,8,106,Mist,Night_Dark,8.7,Moderate
SC039,Urban,Gravel,9,4,197,Drizzle,Night_Streetlights,5.16,Moderate
SC040,Urban,Asphalt,8,1,257,Rainy,Night_Dark,4.13,Moderate
SC041,Urban,Gravel,12,5,152,Drizzle,Dawn,3.58,Moderate
SC042,Rural,Mud,5,5,241,Foggy,Night_Dark,4.99,Moderate
SC043,Urban,Asphalt,8,8,119,Drizzle,Dawn,4.72,Moderate
SC044,Urban,Mud,11,10,161,Mist,Dusk,10.53,Severe
SC045,Rural,Mud,7,6,150,Drizzle,Dawn,2.44,Moderate
SC046,Urban,Gravel,10,7,150,Mist,Dusk,9.06,Moderate
SC047,Urban,Mud,9,8,4,Clear,Dawn,10.35,Moderate
SC048,Urban,Mud,6,2,213,Rainy,Daylight,10.99,Moderate
SC049,Rural,Asphalt,8,5,154,Cloudy,Daylight,11.74,Moderate
SC050,Urban,Concrete,10,6,256,Thunderstorm,Daylight,3.79,Moderate
SC051,Rural,Gravel,13,2,451,Thunderstorm,Daylight,9.01,Moderate
SC052,Urban,Dirt,12,3,459,Thunderstorm,Night_Streetlights,11.18,Severe
SC053,Rural,Gravel,12,0,418,Thunderstorm,Daylight,3.93,Moderate
SC054,Rural,Gravel,13,5,414,Thunderstorm,Dawn,7.09,Severe
SC055,Rural,Mud,13,2,74,Clear,Dawn,11.63,Low
SC056,Urban,Gravel,18,11,93,Clear,Night_Dark,9.86,Severe
SC057,Urban,Dirt,11,4,131,Rainy,Night_Dark,9.09,Moderate
SC058,Urban,Asphalt,7,5,160,Drizzle,Night_Streetlights,8.63,Moderate
SC059,Rural,Asphalt,18,10,203,Foggy,Dusk,8.97,Severe
SC060,Urban,Mud,17,5,127,Cloudy,Night_Streetlights,6.06,Moderate
SC061,Rural,Asphalt,18,18,162,Drizzle,Daylight,6.65,Extreme
SC062,Urban,Dirt,10,10,121,Foggy,Night_Streetlights,4.84,Moderate
SC063,Rural,Mud,14,3,25,Clear,Daylight,3.47,Low
SC064,Urban,Asphalt,7,7,226,Rainy,Night_Dark,10.86,Moderate
SC065,Urban,Mud,20,12,111,Mist,Night_Streetlights,3.48,Severe
SC066,Urban,Asphalt,12,2,455,Thunderstorm,Night_Streetlights,11.58,Moderate
SC067,Rural,Mud,12,1,58,Clear,Night_Dark,3.33,Low
SC068,Rural,Dirt,18,17,364,Thunderstorm,Night_Streetlights,10.97,Extreme
SC069,Rural,Dirt,13,12,213,Drizzle,Daylight,6.85,Severe
SC070,Rural,Concrete,14,3,189,Rainy,Dawn,5.36,Moderate
SC071,Urban,Mud,12,6,89,Cloudy,Daylight,9.06,Moderate
SC072,Rural,Asphalt,19,13,135,Rainy,Dusk,4.07,Extreme
SC073,Rural,Dirt,5,4,347,Thunderstorm,Night_Dark,6.77,Moderate
SC074,Rural,Gravel,18,17,441,Thunderstorm,Night_Streetlights,9.35,Extreme
SC075,Urban,Mud,13,6,244,Rainy,Daylight,2.29,Moderate
SC076,Rural,Gravel,19,4,159,Mist,Daylight,7.34,Moderate
SC077,Urban,Dirt,9,7,23,Clear,Night_Streetlights,2.5,Moderate
SC078,Rural,Dirt,15,10,147,Cloudy,Night_Streetlights,4.78,Severe
SC079,Rural,Dirt,20,0,441,Thunderstorm,Dawn,7.39,Moderate
SC080,Urban,Gravel,6,6,83,Mist,Dawn,11.5,Moderate
SC081,Urban,Concrete,12,2,221,Foggy,Daylight,8.69,Moderate
SC082,Urban,Mud,16,5,275,Rainy,Dusk,8.07,Moderate
SC083,Urban,Asphalt,5,2,176,Drizzle,Dawn,5.97,Low
SC084,Urban,Concrete,8,4,130,Foggy,Daylight,9.96,Moderate
SC085,Urban,Mud,18,11,97,Drizzle,Night_Dark,7.06,Severe
SC086,Urban,Gravel,20,3,360,Thunderstorm,Night_Streetlights,11.61,Severe
SC087,Urban,Dirt,13,9,257,Rainy,Daylight,9.75,Severe
SC088,Rural,Dirt,13,5,468,Thunderstorm,Night_Dark,4.45,Severe
SC089,Rural,Asphalt,19,18,276,Rainy,Daylight,8.68,Extreme
SC090,Urban,Gravel,10,7,174,Rainy,Dusk,5.55,Moderate
SC091,Rural,Gravel,13,8,82,Drizzle,Night_Dark,7.17,Moderate
SC092,Urban,Concrete,20,17,111,Cloudy,Night_Streetlights,8.91,Extreme
SC093,Rural,Dirt,7,4,306,Thunderstorm,Dawn,6.04,Moderate
SC094,Rural,Concrete,16,15,150,Mist,Night_Dark,7.31,Extreme
SC095,Rural,Dirt,13,4,144,Drizzle,Night_Streetlights,4.31,Moderate
SC096,Rural,Concrete,10,3,27,Clear,Night_Dark,9.39,Low
SC097,Rural,Gravel,14,3,46,Clear,Daylight,3.79,Low
SC098,Urban,Asphalt,6,4,154,Drizzle,Dawn,8.97,Moderate
SC099,Rural,Concrete,14,7,61,Clear,Dawn,6.4,Moderate
SC100,Urban,Concrete,8,1,182,Drizzle,Night_Streetlights,6.92,Low
SC101,Urban,Mud,14,1,113,Cloudy,Daylight,3.18,Low
SC102,Urban,Dirt,17,14,482,Thunderstorm,Night_Dark,6.43,Extreme
SC103,Rural,Mud,6,4,105,Drizzle,Night_Dark,11.48,Moderate
SC104,Urban,Concrete,10,3,124,Drizzle,Dawn,7.52,Moderate
SC105,Urban,Concrete,20,9,128,Rainy,Night_Streetlights,4.31,Severe
SC106,Rural,Gravel,13,12,80,Clear,Daylight,7.9,Severe
SC107,Rural,Concrete,12,10,19,Clear,Night_Dark,11.08,Moderate
SC108,Urban,Concrete,14,9,95,Clear,Daylight,10.24,Moderate
SC109,Rural,Gravel,14,11,51,Clear,Night_Streetlights,11.43,Severe
SC110,Rural,Mud,6,3,308,Rainy,Dawn,5.22,Moderate
SC111,Urban,Gravel,5,5,34,Clear,Daylight,7.76,Low
SC112,Rural,Concrete,13,2,249,Foggy,Night_Streetlights,6.36,Moderate
SC113,Urban,Dirt,18,10,202,Rainy,Dusk,8.7,Severe
SC114,Rural,Concrete,14,10,222,Rainy,Night_Streetlights,10.14,Severe
SC115,Urban,Mud,15,8,202,Rainy,Dawn,3.16,Severe
SC116,Urban,Dirt,19,13,86,Mist,Night_Dark,3.88,Severe
SC117,Rural,Gravel,6,1,114,Mist,Night_Streetlights,7.49,Low
SC118,Rural,Gravel,8,0,160,Mist,Night_Streetlights,8.09,Low
SC119,Urban,Concrete,5,4,184,Drizzle,Night_Dark,2.93,Moderate
SC120,Rural,Asphalt,20,9,65,Clear,Daylight,9.05,Severe
SC121,Rural,Dirt,19,17,157,Rainy,Daylight,5.84,Extreme
SC122,Urban,Mud,13,12,452,Thunderstorm,Dawn,10.54,Extreme
SC123,Rural,Gravel,14,11,326,Thunderstorm,Dawn,10.37,Extreme
SC124,Rural,Mud,19,17,373,Thunderstorm,Daylight,5.45,Extreme
SC125,Rural,Mud,11,11,181,Rainy,Dusk,7.72,Severe
SC126,Rural,Concrete,20,12,49,Clear,Dusk,11.88,Severe
SC127,Rural,Concrete,15,3,56,Clear,Daylight,3.0,Moderate
SC128,Urban,Dirt,18,4,89,Mist,Daylight,6.69,Moderate
SC129,Rural,Gravel,7,5,236,Foggy,Night_Streetlights,5.8,Moderate
SC130,Rural,Gravel,6,4,267,Thunderstorm,Night_Dark,4.35,Moderate
SC131,Urban,Gravel,18,3,177,Mist,Dawn,8.34,Moderate
SC132,Rural,Asphalt,5,0,133,Cloudy,Dusk,9.96,Low
SC133,Rural,Gravel,9,3,215,Drizzle,Night_Streetlights,6.12,Moderate
SC134,Urban,Concrete,17,7,177,Cloudy,Dawn,11.13,Moderate
SC135,Urban,Concrete,19,8,290,Rainy,Dusk,2.09,Severe
SC136,Rural,Dirt,10,1,136,Mist,Night_Dark,11.45,Low
SC137,Rural,Mud,13,7,188,Mist,Night_Streetlights,5.02,Moderate
SC138,Rural,Dirt,17,11,73,Clear,Daylight,4.96,Severe
SC139,Urban,Gravel,13,0,394,Thunderstorm,Night_Streetlights,10.65,Moderate
SC140,Rural,Asphalt,12,9,455,Thunderstorm,Dusk,5.52,Extreme
SC141,Rural,Concrete,8,0,119,Mist,Daylight,9.89,Low
SC142,Rural,Asphalt,7,4,121,Mist,Daylight,9.47,Moderate
SC143,Urban,Concrete,16,16,178,Cloudy,Night_Dark,11.13,Extreme
SC144,Rural,Concrete,14,11,472,Thunderstorm,Night_Streetlights,5.39,Extreme
SC145,Rural,Asphalt,12,10,92,Clear,Daylight,8.74,Moderate
SC146,Rural,Dirt,5,2,68,Clear,Night_Streetlights,3.24,Low
SC147,Rural,Gravel,16,3,159,Foggy,Night_Streetlights,6.71,Moderate
SC148,Rural,Mud,7,7,177,Foggy,Daylight,8.49,Moderate
SC149,Urban,Asphalt,14,7,14,Clear,Dawn,2.97,Moderate
SC150,Urban,Mud,16,13,270,Rainy,Night_Streetlights,9.42,Extreme
SC151,Rural,Concrete,20,19,132,Mist,Dawn,11.39,Extreme
SC152,Urban,Gravel,11,7,136,Mist,Dusk,11.51,Moderate
SC153,Urban,Gravel,16,1,130,Mist,Dusk,4.76,Moderate
SC154,Rural,Asphalt,5,0,100,Clear,Daylight,5.34,Low
SC155,Urban,Concrete,11,9,27,Clear,Night_Dark,10.13,Moderate
SC156,Rural,Concrete,5,2,469,Thunderstorm,Daylight,11.84,Moderate
SC157,Rural,Concrete,8,0,283,Thunderstorm,Daylight,2.15,Moderate
SC158,Rural,Concrete,13,0,16,Clear,Daylight,9.42,Low
SC159,Urban,Mud,20,14,179,Mist,Dawn,5.62,Extreme
SC160,Urban,Mud,12,9,131,Rainy,Night_Dark,9.27,Moderate
SC161,Rural,Mud,6,3,222,Rainy,Dawn,6.26,Moderate
SC162,Rural,Asphalt,7,1,121,Mist,Night_Streetlights,8.08,Low
SC163,Urban,Asphalt,15,12,215,Drizzle,Night_Dark,4.95,Extreme
SC164,Rural,Mud,11,6,57,Clear,Dawn,10.88,Moderate
SC165,Rural,Dirt,17,13,436,Thunderstorm,Night_Streetlights,2.95,Extreme
SC166,Rural,Dirt,16,4,167,Mist,Dusk,11.23,Moderate
SC167,Urban,Asphalt,7,6,274,Thunderstorm,Dawn,9.45,Moderate
SC168,Urban,Gravel,15,3,205,Foggy,Dawn,5.54,Moderate
SC169,Urban,Dirt,14,5,106,Drizzle,Night_Dark,7.78,Moderate
SC170,Urban,Concrete,12,1,124,Mist,Night_Streetlights,10.45,Low
SC171,Urban,Gravel,12,12,359,Thunderstorm,Dusk,10.45,Extreme
SC172,Urban,Mud,5,1,169,Foggy,Dusk,9.03,Low
SC173,Rural,Gravel,10,2,182,Drizzle,Dawn,2.7,Moderate
SC174,Urban,Asphalt,11,6,133,Mist,Night_Dark,6.54,Moderate
SC175,Rural,Concrete,7,0,119,Drizzle,Dusk,3.57,Low
SC176,Urban,Mud,13,7,164,Mist,Dawn,6.24,Moderate
SC177,Rural,Mud,11,8,149,Rainy,Dusk,5.45,Moderate
SC178,Rural,Asphalt,20,16,165,Mist,Night_Dark,5.08,Extreme
SC179,Rural,Concrete,5,1,177,Foggy,Dawn,11.45,Low
SC180,Rural,Concrete,8,0,207,Drizzle,Dusk,9.47,Low
SC181,Urban,Concrete,12,8,263,Rainy,Night_Dark,10.33,Severe
SC182,Urban,Gravel,18,0,237,Rainy,Dawn,11.21,Moderate
SC183,Rural,Gravel,18,9,129,Foggy,Night_Streetlights,6.05,Severe
SC184,Urban,Gravel,19,11,272,Thunderstorm,Night_Dark,6.37,Extreme
SC185,Urban,Asphalt,17,16,140,Rainy,Night_Dark,5.96,Extreme
SC186,Rural,Gravel,10,1,180,Cloudy,Dusk,8.33,Low
SC187,Urban,Mud,16,4,310,Thunderstorm,Dusk,3.03,Moderate
SC188,Urban,Gravel,9,1,95,Cloudy,Night_Dark,11.51,Low
SC189,Rural,Dirt,19,18,414,Thunderstorm,Night_Dark,8.35,Extreme
SC190,Rural,Mud,9,7,267,Thunderstorm,Dusk,6.69,Moderate
SC191,Rural,Gravel,16,16,118,Foggy,Dawn,5.1,Extreme
SC192,Urban,Dirt,14,1,82,Clear,Dusk,10.64,Low
SC193,Rural,Asphalt,6,3,266,Rainy,Night_Dark,8.52,Moderate
SC194,Rural,Gravel,6,3,126,Foggy,Daylight,10.11,Low
SC195,Urban,Gravel,6,1,212,Foggy,Daylight,11.91,Low
SC196,Urban,Mud,14,6,184,Drizzle,Dusk,9.74,Moderate
SC197,Urban,Mud,7,5,274,Thunderstorm,Dusk,7.58,Moderate
SC198,Rural,Dirt,9,5,100,Drizzle,Night_Dark,7.83,Moderate
SC199,Rural,Concrete,9,9,101,Drizzle,Night_Streetlights,5.1,Moderate
SC200,Rural,Dirt,7,6,380,Thunderstorm,Daylight,5.62,Severe
SC201,Rural,Gravel,15,15,99,Cloudy,Daylight,4.27,Extreme
SC202,Urban,Concrete,8,8,98,Clear,Dusk,7.4,Moderate
SC203,Urban,Mud,9,9,128,Mist,Dusk,3.54,Moderate
SC204,Urban,Concrete,6,3,126,Mist,Night_Streetlights,8.76,Low
SC205,Rural,Concrete,19,7,236,Foggy,Dusk,4.39,Severe
SC206,Urban,Dirt,19,14,152,Drizzle,Night_Dark,9.78,Extreme
SC207,Rural,Mud,9,4,63,Cloudy,Daylight,8.41,Moderate
SC208,Urban,Gravel,8,4,90,Mist,Night_Dark,9.63,Moderate
SC209,Rural,Gravel,18,2,156,Foggy,Daylight,10.17,Moderate
SC210,Urban,Gravel,17,16,215,Rainy,Dawn,4.36,Extreme
SC211,Rural,Asphalt,15,3,135,Cloudy,Dawn,9.91,Moderate
SC212,Urban,Concrete,9,7,194,Drizzle,Night_Streetlights,8.15,Moderate
SC213,Urban,Asphalt,9,8,215,Drizzle,Daylight,6.23,Moderate
SC214,Urban,Gravel,6,1,187,Drizzle,Dawn,8.39,Low
SC215,Rural,Mud,20,19,68,Clear,Dawn,2.16,Extreme
SC216,Urban,Mud,14,6,80,Mist,Daylight,8.15,Moderate
SC217,Rural,Concrete,16,2,179,Cloudy,Dawn,9.86,Moderate
SC218,Urban,Mud,6,5,219,Rainy,Night_Streetlights,11.81,Moderate
SC219,Urban,Gravel,16,7,106,Drizzle,Dawn,9.72,Moderate
SC220,Urban,Gravel,15,5,99,Clear,Dusk,8.85,Moderate
SC221,Urban,Dirt,7,7,259,Thunderstorm,Daylight,4.93,Moderate
SC222,Urban,Asphalt,14,8,50,Clear,Dusk,11.89,Moderate
SC223,Rural,Mud,11,4,171,Drizzle,Dawn,10.62,Moderate
SC224,Rural,Asphalt,16,13,182,Drizzle,Dawn,9.43,Extreme
SC225,Rural,Dirt,20,11,118,Cloudy,Night_Streetlights,10.01,Severe
SC226,Urban,Dirt,10,8,195,Rainy,Night_Dark,5.21,Moderate
SC227,Rural,Asphalt,14,7,157,Mist,Dusk,9.18,Moderate
SC228,Rural,Concrete,6,5,170,Drizzle,Night_Streetlights,8.15,Moderate
SC229,Rural,Dirt,7,6,126,Mist,Dawn,7.13,Moderate
SC230,Urban,Concrete,19,1,82,Cloudy,Night_Dark,2.67,Low
SC231,Rural,Gravel,6,4,159,Rainy,Night_Dark,8.79,Moderate
SC232,Rural,Gravel,9,8,213,Rainy,Dawn,5.98,Moderate
SC233,Urban,Gravel,10,7,66,Clear,Dawn,5.87,Moderate
SC234,Urban,Mud,19,6,153,Drizzle,Dusk,8.94,Moderate
SC235,Urban,Dirt,7,7,22,Clear,Daylight,10.99,Moderate
SC236,Urban,Dirt,16,2,390,Thunderstorm,Dusk,7.42,Moderate
SC237,Urban,Gravel,16,16,108,Mist,Daylight,3.21,Extreme
SC238,Urban,Concrete,5,2,144,Cloudy,Night_Streetlights,6.67,Low
SC239,Urban,Mud,7,4,201,Foggy,Dawn,12.0,Moderate
SC240,Rural,Dirt,7,2,498,Thunderstorm,Night_Streetlights,5.17,Moderate
SC241,Rural,Asphalt,16,4,319,Rainy,Night_Dark,7.51,Moderate
SC242,Urban,Mud,18,16,483,Thunderstorm,Daylight,10.68,Extreme
SC243,Urban,Asphalt,10,5,137,Drizzle,Daylight,5.46,Moderate
SC244,Rural,Mud,13,3,412,Thunderstorm,Dawn,11.56,Moderate
SC245,Urban,Gravel,7,2,155,Mist,Dusk,11.42,Low
SC246,Urban,Concrete,15,1,185,Mist,Night_Dark,10.64,Moderate
SC247,Urban,Asphalt,13,10,106,Mist,Night_Dark,9.67,Severe
SC248,Urban,Dirt,14,10,197,Rainy,Night_Dark,6.83,Severe
SC249,Rural,Dirt,6,1,232,Rainy,Dawn,6.16,Low
SC250,Urban,Dirt,9,5,161,Drizzle,Night_Dark,9.34,Moderate
SC251,Rural,Gravel,8,5,111,Cloudy,Dusk,6.66,Moderate
SC252,Rural,Gravel,8,0,124,Cloudy,Daylight,11.45,Low
SC253,Rural,Mud,15,10,98,Cloudy,Daylight,9.63,Severe
SC254,Rural,Dirt,20,0,143,Rainy,Dusk,11.45,Moderate
SC255,Rural,Mud,16,1,62,Cloudy,Daylight,4.81,Low
SC256,Rural,Mud,5,0,190,Drizzle,Night_Dark,3.34,Low
SC257,Rural,Gravel,16,1,352,Thunderstorm,Night_Streetlights,2.51,Moderate
SC258,Urban,Mud,14,1,178,Drizzle,Night_Dark,7.04,Moderate
SC259,Rural,Mud,8,2,499,Thunderstorm,Night_Dark,2.97,Moderate
SC260,Rural,Gravel,9,3,230,Foggy,Dusk,6.01,Moderate
SC261,Urban,Asphalt,15,15,66,Clear,Daylight,6.57,Extreme
SC262,Urban,Mud,15,5,180,Drizzle,Night_Dark,11.91,Moderate
SC263,Rural,Gravel,20,18,176,Foggy,Night_Dark,6.75,Extreme
SC264,Rural,Asphalt,18,18,158,Drizzle,Dawn,9.97,Extreme
SC265,Rural,Asphalt,12,11,93,Drizzle,Night_Dark,7.84,Severe
SC266,Rural,Concrete,6,4,78,Cloudy,Daylight,3.91,Low
SC267,Rural,Dirt,18,6,225,Rainy,Daylight,7.02,Severe
SC268,Rural,Mud,9,8,303,Thunderstorm,Dawn,7.61,Severe
SC269,Rural,Dirt,19,17,167,Drizzle,Daylight,7.46,Extreme
SC270,Rural,Gravel,13,8,126,Cloudy,Daylight,4.25,Moderate
SC271,Rural,Gravel,20,10,141,Mist,Daylight,5.49,Severe
SC272,Rural,Gravel,17,12,44,Clear,Night_Dark,11.55,Severe
SC273,Rural,Concrete,7,5,56,Clear,Dusk,8.56,Moderate
SC274,Urban,Dirt,13,8,119,Cloudy,Night_Dark,3.37,Moderate
SC275,Urban,Mud,12,10,109,Cloudy,Dawn,2.52,Severe
SC276,Rural,Dirt,8,2,80,Mist,Night_Streetlights,11.65,Low
SC277,Rural,Concrete,20,20,105,Mist,Night_Streetlights,9.56,Extreme
SC278,Rural,Gravel,7,3,216,Drizzle,Dawn,9.39,Moderate
SC279,Urban,Asphalt,6,6,221,Rainy,Daylight,9.88,Moderate
SC280,Rural,Concrete,14,9,77,Clear,Dawn,3.07,Moderate
SC281,Rural,Gravel,20,4,249,Rainy,Night_Dark,6.68,Moderate
SC282,Urban,Concrete,19,8,127,Drizzle,Daylight,2.14,Severe
SC283,Rural,Gravel,10,9,203,Foggy,Daylight,10.27,Severe
SC284,Rural,Mud,8,2,17,Clear,Night_Streetlights,6.77,Low
SC285,Urban,Concrete,12,7,148,Drizzle,Night_Streetlights,11.54,Moderate
SC286,Urban,Gravel,12,0,110,Drizzle,Dusk,6.65,Low
SC287,Rural,Concrete,14,11,95,Mist,Night_Dark,8.39,Severe
SC288,Rural,Gravel,12,2,222,Foggy,Daylight,3.53,Moderate
SC289,Rural,Mud,20,17,290,Rainy,Night_Dark,10.26,Extreme
SC290,Urban,Concrete,16,2,244,Foggy,Night_Streetlights,3.12,Moderate
